50X50
7:x=0y=0player=0,7:x=10y=0player=0,7:x=20y=0player=0,7:x=30y=0player=0,7:x=40y=0player=0,7:x=50y=0player=0,7:x=60y=0player=0,7:x=70y=0player=0,7:x=80y=0player=0,7:x=90y=0player=0,7:x=100y=0player=0,7:x=110y=0player=0,7:x=120y=0player=0,7:x=130y=0player=0,7:x=140y=0player=0,7:x=150y=0player=0,7:x=160y=0player=0,7:x=170y=0player=0,7:x=180y=0player=0,7:x=190y=0player=0,7:x=200y=0player=0,7:x=210y=0player=0,7:x=220y=0player=0,7:x=230y=0player=0,7:x=240y=0player=0,7:x=250y=0player=0,7:x=260y=0player=0,7:x=270y=0player=0,7:x=280y=0player=0,7:x=290y=0player=0,7:x=300y=0player=0,7:x=310y=0player=0,7:x=320y=0player=0,7:x=330y=0player=0,7:x=340y=0player=0,7:x=350y=0player=0,7:x=360y=0player=0,7:x=370y=0player=0,7:x=380y=0player=0,7:x=390y=0player=0,7:x=400y=0player=0,7:x=410y=0player=0,7:x=420y=0player=0,7:x=430y=0player=0,7:x=440y=0player=0,7:x=450y=0player=0,7:x=460y=0player=0,7:x=470y=0player=0,7:x=480y=0player=0,7:x=490y=0player=0
7:x=0y=10player=0,3:x=10y=10player=0,3:x=20y=10player=0,3:x=30y=10player=0,3:x=40y=10player=0,3:x=50y=10player=0,3:x=60y=10player=0,3:x=70y=10player=0,3:x=80y=10player=0,3:x=90y=10player=0,3:x=100y=10player=0,3:x=110y=10player=0,3:x=120y=10player=0,3:x=130y=10player=0,3:x=140y=10player=0,3:x=150y=10player=0,3:x=160y=10player=0,3:x=170y=10player=0,3:x=180y=10player=0,3:x=190y=10player=0,3:x=200y=10player=0,3:x=210y=10player=0,3:x=220y=10player=0,3:x=230y=10player=0,3:x=240y=10player=0,3:x=250y=10player=0,3:x=260y=10player=0,3:x=270y=10player=0,3:x=280y=10player=0,3:x=290y=10player=0,3:x=300y=10player=0,3:x=310y=10player=0,3:x=320y=10player=0,3:x=330y=10player=0,3:x=340y=10player=0,3:x=350y=10player=0,3:x=360y=10player=0,3:x=370y=10player=0,3:x=380y=10player=0,3:x=390y=10player=0,3:x=400y=10player=0,3:x=410y=10player=0,3:x=420y=10player=0,3:x=430y=10player=0,3:x=440y=10player=0,3:x=450y=10player=0,3:x=460y=10player=0,3:x=470y=10player=0,3:x=480y=10player=0,7:x=490y=10player=0
7:x=0y=20player=0,3:x=10y=20player=0,3:x=20y=20player=0,3:x=30y=20player=0,3:x=40y=20player=0,3:x=50y=20player=0,3:x=60y=20player=0,3:x=70y=20player=0,3:x=80y=20player=0,3:x=90y=20player=0,3:x=100y=20player=0,3:x=110y=20player=0,3:x=120y=20player=0,3:x=130y=20player=0,3:x=140y=20player=0,3:x=150y=20player=0,3:x=160y=20player=0,3:x=170y=20player=0,3:x=180y=20player=0,3:x=190y=20player=0,3:x=200y=20player=0,3:x=210y=20player=0,4:x=220y=20player=0,4:x=230y=20player=0,4:x=240y=20player=0,3:x=250y=20player=0,3:x=260y=20player=0,3:x=270y=20player=0,3:x=280y=20player=0,3:x=290y=20player=0,3:x=300y=20player=0,3:x=310y=20player=0,3:x=320y=20player=0,3:x=330y=20player=0,3:x=340y=20player=0,3:x=350y=20player=0,3:x=360y=20player=0,3:x=370y=20player=0,3:x=380y=20player=0,3:x=390y=20player=0,3:x=400y=20player=0,3:x=410y=20player=0,3:x=420y=20player=0,3:x=430y=20player=0,3:x=440y=20player=0,3:x=450y=20player=0,3:x=460y=20player=0,3:x=470y=20player=0,3:x=480y=20player=0,7:x=490y=20player=0
7:x=0y=30player=0,3:x=10y=30player=0,3:x=20y=30player=0,3:x=30y=30player=0,3:x=40y=30player=0,3:x=50y=30player=0,3:x=60y=30player=0,3:x=70y=30player=0,3:x=80y=30player=0,3:x=90y=30player=0,3:x=100y=30player=0,3:x=110y=30player=0,3:x=120y=30player=0,3:x=130y=30player=0,3:x=140y=30player=0,3:x=150y=30player=0,3:x=160y=30player=0,3:x=170y=30player=0,3:x=180y=30player=0,3:x=190y=30player=0,3:x=200y=30player=0,3:x=210y=30player=0,4:x=220y=30player=0,4:x=230y=30player=0,4:x=240y=30player=0,3:x=250y=30player=0,3:x=260y=30player=0,3:x=270y=30player=0,3:x=280y=30player=0,3:x=290y=30player=0,3:x=300y=30player=0,3:x=310y=30player=0,3:x=320y=30player=0,3:x=330y=30player=0,3:x=340y=30player=0,3:x=350y=30player=0,3:x=360y=30player=0,3:x=370y=30player=0,3:x=380y=30player=0,3:x=390y=30player=0,3:x=400y=30player=0,3:x=410y=30player=0,3:x=420y=30player=0,3:x=430y=30player=0,3:x=440y=30player=0,3:x=450y=30player=0,3:x=460y=30player=0,3:x=470y=30player=0,3:x=480y=30player=0,7:x=490y=30player=0
7:x=0y=40player=0,3:x=10y=40player=0,3:x=20y=40player=0,3:x=30y=40player=0,3:x=40y=40player=0,3:x=50y=40player=0,3:x=60y=40player=0,3:x=70y=40player=0,3:x=80y=40player=0,3:x=90y=40player=0,3:x=100y=40player=0,3:x=110y=40player=0,3:x=120y=40player=0,3:x=130y=40player=0,3:x=140y=40player=0,3:x=150y=40player=0,3:x=160y=40player=0,3:x=170y=40player=0,3:x=180y=40player=0,3:x=190y=40player=0,3:x=200y=40player=0,3:x=210y=40player=0,4:x=220y=40player=0,4:x=230y=40player=0,4:x=240y=40player=0,3:x=250y=40player=0,3:x=260y=40player=0,3:x=270y=40player=0,3:x=280y=40player=0,3:x=290y=40player=0,3:x=300y=40player=0,3:x=310y=40player=0,3:x=320y=40player=0,3:x=330y=40player=0,3:x=340y=40player=0,3:x=350y=40player=0,3:x=360y=40player=0,3:x=370y=40player=0,3:x=380y=40player=0,3:x=390y=40player=0,3:x=400y=40player=0,3:x=410y=40player=0,3:x=420y=40player=0,3:x=430y=40player=0,3:x=440y=40player=0,3:x=450y=40player=0,3:x=460y=40player=0,3:x=470y=40player=0,3:x=480y=40player=0,7:x=490y=40player=0
7:x=0y=50player=0,3:x=10y=50player=0,3:x=20y=50player=0,3:x=30y=50player=0,3:x=40y=50player=0,3:x=50y=50player=0,3:x=60y=50player=0,3:x=70y=50player=0,3:x=80y=50player=0,3:x=90y=50player=0,3:x=100y=50player=0,3:x=110y=50player=0,3:x=120y=50player=0,3:x=130y=50player=0,3:x=140y=50player=0,3:x=150y=50player=0,3:x=160y=50player=0,3:x=170y=50player=0,3:x=180y=50player=0,3:x=190y=50player=0,3:x=200y=50player=0,3:x=210y=50player=0,4:x=220y=50player=0,4:x=230y=50player=0,4:x=240y=50player=0,3:x=250y=50player=0,3:x=260y=50player=0,3:x=270y=50player=0,3:x=280y=50player=0,3:x=290y=50player=0,3:x=300y=50player=0,3:x=310y=50player=0,3:x=320y=50player=0,3:x=330y=50player=0,3:x=340y=50player=0,3:x=350y=50player=0,3:x=360y=50player=0,3:x=370y=50player=0,3:x=380y=50player=0,3:x=390y=50player=0,3:x=400y=50player=0,3:x=410y=50player=0,3:x=420y=50player=0,3:x=430y=50player=0,3:x=440y=50player=0,3:x=450y=50player=0,3:x=460y=50player=0,3:x=470y=50player=0,3:x=480y=50player=0,7:x=490y=50player=0
7:x=0y=60player=0,3:x=10y=60player=0,3:x=20y=60player=0,3:x=30y=60player=0,3:x=40y=60player=0,3:x=50y=60player=0,3:x=60y=60player=0,3:x=70y=60player=0,3:x=80y=60player=0,3:x=90y=60player=0,3:x=100y=60player=0,3:x=110y=60player=0,3:x=120y=60player=0,3:x=130y=60player=0,3:x=140y=60player=0,3:x=150y=60player=0,3:x=160y=60player=0,3:x=170y=60player=0,3:x=180y=60player=0,3:x=190y=60player=0,3:x=200y=60player=0,3:x=210y=60player=0,4:x=220y=60player=0,4:x=230y=60player=0,4:x=240y=60player=0,3:x=250y=60player=0,3:x=260y=60player=0,3:x=270y=60player=0,3:x=280y=60player=0,3:x=290y=60player=0,3:x=300y=60player=0,3:x=310y=60player=0,3:x=320y=60player=0,3:x=330y=60player=0,3:x=340y=60player=0,3:x=350y=60player=0,3:x=360y=60player=0,3:x=370y=60player=0,3:x=380y=60player=0,3:x=390y=60player=0,3:x=400y=60player=0,3:x=410y=60player=0,3:x=420y=60player=0,3:x=430y=60player=0,3:x=440y=60player=0,3:x=450y=60player=0,3:x=460y=60player=0,3:x=470y=60player=0,3:x=480y=60player=0,7:x=490y=60player=0
7:x=0y=70player=0,3:x=10y=70player=0,3:x=20y=70player=0,3:x=30y=70player=0,3:x=40y=70player=0,3:x=50y=70player=0,3:x=60y=70player=0,3:x=70y=70player=0,6:x=80y=70player=1,6:x=90y=70player=1,6:x=100y=70player=1,3:x=110y=70player=0,3:x=120y=70player=0,3:x=130y=70player=0,3:x=140y=70player=0,3:x=150y=70player=0,3:x=160y=70player=0,3:x=170y=70player=0,3:x=180y=70player=0,3:x=190y=70player=0,3:x=200y=70player=0,3:x=210y=70player=0,4:x=220y=70player=0,4:x=230y=70player=0,4:x=240y=70player=0,3:x=250y=70player=0,3:x=260y=70player=0,3:x=270y=70player=0,3:x=280y=70player=0,3:x=290y=70player=0,3:x=300y=70player=0,3:x=310y=70player=0,3:x=320y=70player=0,3:x=330y=70player=0,3:x=340y=70player=0,3:x=350y=70player=0,3:x=360y=70player=0,3:x=370y=70player=0,6:x=380y=70player=2,6:x=390y=70player=2,6:x=400y=70player=2,3:x=410y=70player=0,3:x=420y=70player=0,3:x=430y=70player=0,3:x=440y=70player=0,3:x=450y=70player=0,3:x=460y=70player=0,3:x=470y=70player=0,3:x=480y=70player=0,7:x=490y=70player=0
7:x=0y=80player=0,3:x=10y=80player=0,3:x=20y=80player=0,3:x=30y=80player=0,3:x=40y=80player=0,3:x=50y=80player=0,3:x=60y=80player=0,3:x=70y=80player=0,6:x=80y=80player=1,6:x=90y=80player=1,6:x=100y=80player=1,3:x=110y=80player=0,3:x=120y=80player=0,3:x=130y=80player=0,3:x=140y=80player=0,3:x=150y=80player=0,3:x=160y=80player=0,3:x=170y=80player=0,3:x=180y=80player=0,3:x=190y=80player=0,3:x=200y=80player=0,3:x=210y=80player=0,4:x=220y=80player=0,4:x=230y=80player=0,4:x=240y=80player=0,3:x=250y=80player=0,3:x=260y=80player=0,3:x=270y=80player=0,3:x=280y=80player=0,3:x=290y=80player=0,3:x=300y=80player=0,3:x=310y=80player=0,3:x=320y=80player=0,3:x=330y=80player=0,3:x=340y=80player=0,3:x=350y=80player=0,3:x=360y=80player=0,3:x=370y=80player=0,6:x=380y=80player=2,6:x=390y=80player=2,6:x=400y=80player=2,3:x=410y=80player=0,3:x=420y=80player=0,3:x=430y=80player=0,3:x=440y=80player=0,3:x=450y=80player=0,3:x=460y=80player=0,3:x=470y=80player=0,3:x=480y=80player=0,7:x=490y=80player=0
7:x=0y=90player=0,3:x=10y=90player=0,3:x=20y=90player=0,3:x=30y=90player=0,3:x=40y=90player=0,3:x=50y=90player=0,3:x=60y=90player=0,3:x=70y=90player=0,3:x=80y=90player=0,3:x=90y=90player=0,3:x=100y=90player=0,3:x=110y=90player=0,3:x=120y=90player=0,3:x=130y=90player=0,3:x=140y=90player=0,3:x=150y=90player=0,3:x=160y=90player=0,3:x=170y=90player=0,3:x=180y=90player=0,3:x=190y=90player=0,3:x=200y=90player=0,3:x=210y=90player=0,4:x=220y=90player=0,4:x=230y=90player=0,4:x=240y=90player=0,3:x=250y=90player=0,3:x=260y=90player=0,3:x=270y=90player=0,3:x=280y=90player=0,3:x=290y=90player=0,3:x=300y=90player=0,3:x=310y=90player=0,3:x=320y=90player=0,3:x=330y=90player=0,3:x=340y=90player=0,3:x=350y=90player=0,3:x=360y=90player=0,3:x=370y=90player=0,3:x=380y=90player=0,3:x=390y=90player=0,3:x=400y=90player=0,3:x=410y=90player=0,3:x=420y=90player=0,3:x=430y=90player=0,3:x=440y=90player=0,3:x=450y=90player=0,3:x=460y=90player=0,3:x=470y=90player=0,3:x=480y=90player=0,7:x=490y=90player=0
7:x=0y=100player=0,3:x=10y=100player=0,3:x=20y=100player=0,3:x=30y=100player=0,3:x=40y=100player=0,3:x=50y=100player=0,3:x=60y=100player=0,3:x=70y=100player=0,3:x=80y=100player=0,3:x=90y=100player=0,3:x=100y=100player=0,3:x=110y=100player=0,3:x=120y=100player=0,3:x=130y=100player=0,3:x=140y=100player=0,3:x=150y=100player=0,3:x=160y=100player=0,3:x=170y=100player=0,3:x=180y=100player=0,3:x=190y=100player=0,3:x=200y=100player=0,3:x=210y=100player=0,4:x=220y=100player=0,4:x=230y=100player=0,4:x=240y=100player=0,3:x=250y=100player=0,3:x=260y=100player=0,3:x=270y=100player=0,3:x=280y=100player=0,3:x=290y=100player=0,3:x=300y=100player=0,3:x=310y=100player=0,3:x=320y=100player=0,3:x=330y=100player=0,3:x=340y=100player=0,3:x=350y=100player=0,3:x=360y=100player=0,3:x=370y=100player=0,3:x=380y=100player=0,3:x=390y=100player=0,3:x=400y=100player=0,3:x=410y=100player=0,3:x=420y=100player=0,3:x=430y=100player=0,3:x=440y=100player=0,3:x=450y=100player=0,3:x=460y=100player=0,3:x=470y=100player=0,3:x=480y=100player=0,7:x=490y=100player=0
